query	lat	lon	lat_min	lat_max	lon_min	lon_max
Conway, AR	35.2521996	-92.6888936	35.0714269	35.463596	-93.040823	-92.479469
Craighead, AR	35.8348413	-90.6441144	35.700207	35.996419	-91.035484	-90.283386
Crawford, AR	35.5803044	-94.2684622	35.347542	35.764847	-94.49313	-93.8923428
Crittenden, AR	35.2505701	-90.3192299	34.8333164	35.439884	-90.505447	-90.064612
Cross, AR	35.3001216	-90.7750181	35.143021	35.450588	-91.042526	-90.499771
Dallas, AR	33.9630776	-92.6853662	33.7950592	34.155872	-92.96051	-92.3342493
Desha, AR	33.7740219	-91.3110517	33.5171838	34.1193908	-91.557618	-90.870461
Drew, AR	33.5716907	-91.7160969	33.389011	33.79052	-92.012238	-91.4503199
Faulkner, AR	35.1470851	-92.3219053	34.8422331	35.368088	-92.598999	-92.1116018
Franklin, AR	35.5110075	-93.8864847	35.1994323	35.7743089	-94.0821406	-93.696373
Fulton, AR	36.3783981	-91.8110982	36.2500998	36.4994617	-92.15934	-91.447179
Garland, AR	34.5488944	-93.1838539	34.3891436	34.773533	-93.4071632	-92.791458
Grant, AR	34.2773864	-92.420578	34.0594841	34.495667	-92.677353	-92.2079909
Greene, AR	36.091803	-90.5778883	35.96344	36.265968	-90.854332	-90.190053
Hempstead, AR	33.6949319	-93.6929825	33.476173	34.0089456	-93.969597	-93.4565012
Hot Spring, AR	34.2956351	-92.9005742	34.14994	34.506103	-93.4082417	-92.669075
Howard, AR	34.0744088	-93.9745776	33.7477131	34.355511	-94.259163	-93.820488
Independence, AR	35.718344	-91.55326	35.525791	35.942833	-91.871391	-91.1974723
Izard, AR	36.0832532	-91.8894787	35.867229	36.261875	-92.21376	-91.674583
Jackson, AR	35.5770886	-91.196742	35.354275	35.8899966	-91.585258	-91.032104
Jefferson, AR	34.2711667	-91.9248307	34.0623423	34.4928108	-92.2332249	-91.4313495
Johnson, AR	35.5600697	-93.4550108	35.3268069	35.768559	-93.710149	-93.165092
Lafayette, AR	33.1821484	-93.5972459	33.018554	33.482071	-93.863998	-93.3655123
Lawrence, AR	36.0078212	-91.1655476	35.88118	36.2579526	-91.3573629	-90.746704
Lee, AR	34.7836833	-90.7759619	34.627487	34.9119672	-91.103027	-90.4071147
Lincoln, AR	33.9359663	-91.7713274	33.7832934	34.175678	-91.976379	-91.4217633
Little River, AR	33.6968793	-94.2065398	33.533886	33.948204	-94.4858499	-93.824326
Logan, AR	35.2255171	-93.7233321	35.0197258	35.4299579	-94.1417925	-93.2780332
Lonoke, AR	34.7414404	-91.862792	34.481808	35.075371	-92.121384	-91.630157
Madison, AR	35.9728095	-93.7589024	35.7597352	36.307251	-93.9631144	-93.446022
Marion, AR	36.2378521	-92.6999559	36.062469	36.498592	-92.891396	-92.4069412
Miller, AR	33.2766729	-93.9214795	33.019139	33.613808	-94.043424	-93.665634
Mississippi, AR	35.7547987	-90.0875933	35.389277	36.000608	-90.2888	-89.644395
Monroe, AR	34.6778982	-91.2289578	34.336231	35.0042635	-91.447891	-91.000267
Montgomery, AR	34.5218805	-93.6508234	34.339379	34.746777	-93.935852	-93.393623
Nevada, AR	33.6413476	-93.3055491	33.440377	33.960437	-93.4838202	-93.1042698
Newton, AR	35.918468	-93.2273047	35.724678	36.124905	-93.526245	-92.938126
Ouachita, AR	33.5680929	-92.9355875	33.3556028	33.822258	-93.120338	-92.567368
Perry, AR	34.9616474	-92.8757514	34.7718574	35.1152316	-93.305899	-92.540604
Phillips, AR	34.4427373	-90.8331287	34.1186173	34.644207	-91.1178659	-90.540736
Pike, AR	34.1435885	-93.6428966	33.943668	34.349861	-93.93924	-93.36721
Poinsett, AR	35.5730183	-90.6717121	35.438313	35.708233	-91.039055	-90.284157
Polk, AR	34.4995799	-94.2397116	34.18974	34.7289223	-94.4702935	-93.930717
Pope, AR	35.453867	-93.0498623	35.1175657	35.728672	-93.299957	-92.810318
Prairie, AR	34.8105247	-91.5751148	34.479736	35.091888	-91.80336	-91.344009
Pulaski, AR	34.7550166	-92.3003472	34.489952	35.0146269	-92.7554438	-92.029701
Randolph, AR	36.3412315	-91.0387017	36.126396	36.4985322	-91.4071103	-90.748039
Saline, AR	34.6021249	-92.6542869	34.412891	34.858849	-93.075745	-92.244629
Scott, AR	34.8469384	-94.0431714	34.664787	35.0997177	-94.4543946	-93.7049216
Searcy, AR	35.9018987	-92.7098744	35.718189	36.115364	-92.951416	-92.411606
Sebastian, AR	35.1770785	-94.2654285	34.930112	35.450871	-94.4464001	-94.0288204
Sevier, AR	33.9867858	-94.243888	33.7509222	34.192513	-94.477318	-93.9569632
Sharp, AR	36.1344424	-91.4930274	35.8906652	36.4976783	-91.712654	-91.25843
St. Francis, AR	35.0153956	-90.7263194	34.8671225	35.150913	-91.1525526	-90.399185
Stone, AR	35.8317159	-92.1747633	35.7049784	36.129375	-92.418793	-91.836357
Union, AR	33.1637366	-92.6171029	33.0080207	33.3878807	-92.9887047	-92.0687417
Van Buren, AR	35.5759086	-92.4916144	35.3633325	35.791286	-92.849922	-92.2407524
Washington, AR	35.9672625	-94.2280656	35.750313	36.238239	-94.5521802	-93.888268
White, AR	35.2463042	-91.7169687	35.021149	35.5340561	-92.119789	-91.344391
Woodruff, AR	35.1714574	-91.2229851	34.911118	35.445679	-91.480034	-91.039948
Yell, AR	34.9906072	-93.4283105	34.7432917	35.3175271	-93.7100184	-92.922035
Alameda, CA	37.6090291	-121.899142	37.4539501	37.9066896	-122.373843	-121.4690903
Alpine, CA	38.5893934	-119.8345013	38.3269341	38.9334164	-120.0725836	-119.5422354
Amador, CA	38.449089	-120.5911018	38.2174857	38.7090956	-121.0273043	-120.0723656
Butte, CA	39.6519275	-121.5858444	39.2957563	40.1517198	-122.0692552	-121.0765886
Calaveras, CA	38.2558181	-120.4981492	37.8329059	38.5098748	-120.9956358	-120.017842
Colusa, CA	39.1465578	-122.2209563	38.9239077	39.4146319	-122.78509	-121.795349
Contra Costa, CA	37.9034806	-121.9175345	37.7184794	38.1045118	-122.441484	-121.5342719
Del Norte, CA	41.7261767	-123.91328	41.3807762	42.0009357	-124.440707	-123.5178137
El Dorado, CA	38.7574137	-120.5276129	38.5024005	39.0675101	-121.1487138	-119.8771408
Fresno, CA	36.7295295	-119.708861260756	36.728449	36.730442	-119.70935	-119.70836
Glenn, CA	39.5912766	-122.3778662	39.3829788	39.8006233	-122.9382494	-121.8566454
Humboldt, CA	40.5997415	-123.8997734	40.0013855	41.4658436	-124.482003	-123.4057504
Imperial, CA	33.0305487	-115.3595666	32.6184162	33.4338267	-116.1062797	-114.4627897
Inyo, CA	36.5595325	-117.4074712	35.7865818	37.4649344	-118.7900515	-115.6480603
Kern, CA	35.3145701	-118.7538222	34.789733	35.7983076	-120.1941544	-117.616395
Kings, CA	36.0784807	-119.7956342	35.7886118	36.4888501	-120.3151128	-119.4743755
Lake, CA	39.0505411	-122.7776556	38.6676515	39.5815189	-123.0941684	-122.3398198
Lassen, CA	40.7685579	-120.730998	39.7076671	41.1846248	-121.3320021	-119.9956059
Los Angeles, CA	34.0536909	-118.242766	33.659541	34.337306	-118.6681776	-118.1552947
Madera, CA	36.9418115	-120.171438178571	36.938145	36.946137	-120.183673	-120.156048
Marin, CA	38.0409144	-122.6199638	37.815267	38.3211597	-123.085661	-122.3524581
Mariposa, CA	37.570148	-119.9036592	37.1830275	37.9027705	-120.3954369	-119.3091614
Mendocino, CA	39.3176491	-123.4126399	38.758119	40.00247	-124.134889	-122.8176736
Merced, CA	37.1641544	-120.7678602	36.7404189	37.6335083	-121.2476184	-120.0524763
Modoc, CA	41.5450487	-120.7435998	41.1838977	41.9977028	-121.4573353	-119.9986077
Mono, CA	37.9533927	-118.9398758	37.4626559	38.7141993	-119.6513009	-117.8330472
Monterey, CA	36.2231079	-121.3877428	35.7890391	36.9193564	-122.0608667	-120.2139463
Napa, CA	38.2971367	-122.2855293	38.221091	38.350834	-122.357721	-122.222196
Nevada, CA	39.3540335	-120.8089843	39.0052071	39.5269746	-121.2798334	-120.0031676
Orange, CA	33.7500378	-117.8704931	33.3336696	33.9476346	-118.1527575	-117.4136102
Placer, CA	39.1012064	-120.7650606	38.7112111	39.3165698	-121.4844692	-120.0024755
Plumas, CA	39.9430988	-120.8059521	39.5972855	40.4495391	-121.4981473	-120.0990401
Riverside, CA	33.9533546	-117.3961623	33.8725232	34.0194237	-117.5237612	-117.2741722
Sacramento, CA	38.5810606	-121.4938951	38.437574	38.685506	-121.56012	-121.36274
San Benito, CA	36.6248089	-121.1177379	36.1967681	36.9888967	-121.6437391	-120.5966591
San Bernardino, CA	34.8253019	-116.0833144	33.8709844	35.8092552	-117.8025491	-114.1307816
San Diego, CA	32.7174202	-117.1627728	32.5347726	33.114249	-117.3098053	-116.9057226
San Francisco, CA	37.7790262	-122.4199061	37.6403143	37.929811	-123.173825	-122.281479
San Joaquin, CA	37.9372901	-121.2773719	37.4818174	38.3001213	-121.5848663	-120.9170181
San Luis Obispo, CA	35.3540209	-120.3757163	34.8975179	35.796655	-121.438176	-119.4726201
San Mateo, CA	37.496904	-122.3330573	37.0479139	37.7082836	-122.588177	-122.081701
Santa Barbara, CA	34.4221319	-119.7026673	34.336029	34.463922	-119.859791	-119.6399059
Santa Clara, CA	37.2333253	-121.6846349	36.8931127	37.4846245	-122.2025817	-121.2082946
Santa Cruz, CA	37.050096	-121.9905908	36.8488209	37.2861556	-122.3220529	-121.5823066
Shasta, CA	40.7965121	-121.9979194	40.2854246	41.185405	-123.0690573	-121.3195676
Sierra, CA	39.5849065	-120.5305731	39.3913098	39.7768924	-121.058159	-120.0011547
Siskiyou, CA	41.5007223	-122.544354147521	40.9921574	42.009499	-123.7192163	-121.4459738
Solano, CA	38.2218938	-121.9163555	38.0319006	38.540307	-122.4070422	-121.5932881
Sonoma, CA	38.5110803	-122.8473388	38.0695272	38.8526549	-123.632497	-122.3496966
Stanislaus, CA	37.5500871	-121.0501425	37.1346558	38.0775105	-121.4850799	-120.3877798
Sutter, CA	38.9509675	-121.697088	38.7346401	39.3057062	-121.9480287	-121.4144714
Tehama, CA	40.1251334	-122.2015529	39.7973976	40.4461616	-123.0660707	-121.3420273
Trinity, CA	40.6053256	-123.171268	39.9769628	41.3685544	-123.6237672	-122.4457966
Tulare, CA	36.2516475	-118.852583	35.786701	36.7531474	-119.573376	-117.9807869
Tuolumne, CA	38.056944	-119.9919351	37.6335083	38.4358565	-120.653104	-119.1995075
Ventura, CA	34.4458248	-119.0779359	33.1633074	34.9012713	-119.7577028	-118.632485
Yolo, CA	38.7184542	-121.9059001	38.3133402	38.9259921	-122.4229285	-121.50117
Yuba, CA	39.2839755	-121.3556818	38.9183362	39.6394125	-121.6363408	-121.0096253
Adams, CO	39.9787786	-91.2110065	39.756645	40.2003599	-91.5130518	-90.910461
Alamosa, CO	37.5780995	-105.7890452	37.354908	37.7522653	-106.0393983	-105.452671
Arapahoe, CO	39.6416781	-104.3628567	39.5632726	39.7404211	-105.0599255	-103.706352
Archuleta, CO	37.1995993	-107.0842479	36.992426	37.423546	-107.47953	-106.476229
Baca, CO	37.3147687	-102.5770885	36.9931275	37.644282	-103.0861725	-102.041585
Bent, CO	37.9421152	-103.0964287	37.641697	38.265381	-103.405251	-102.738808
Boulder, CO	5.76420625	-73.3750917665364	5.7641222	5.764293	-73.3751723	-73.3750074
Broomfield, CO	39.9203827	-105.0691464	39.8803827	39.9603827	-105.1091464	-105.0291464
Chaffee, CO	38.7413025	-106.1825012	38.422092	39.057854	-106.599813	-105.87809
Cheyenne, CO	41.139981	-104.820246	40.979981	41.299981	-104.980246	-104.660246
Clear Creek, CO	39.6754591	-105.6435349	39.564865	39.8520985	-105.927057	-105.3979514
Conejos, CO	37.1851939	-106.1655431	36.993758	37.4035963	-106.6783733	-105.7185436
Costilla, CO	8.732435	-73.7248274	8.722435	8.742435	-73.7348274	-73.7148274
Crowley, CO	38.3394806	-103.8263042	38.1122301	38.523003	-104.058701	-103.5015772
Custer, CO	38.1072962	-105.3543375	37.889324	38.266018	-105.796897	-105.046806
Delta, CO	4.63134315	-74.10828765	4.6312681	4.6314182	-74.1083681	-74.1082072
Denver, CO	5.3428475	-72.3959849	5.3427975	5.3428975	-72.3960349	-72.3959349
Dolores, CO	3.62798395	-74.809759060187	3.4107256	3.8448472	-74.9968837	-74.5352279
Douglas, CO	39.7628415	-88.2170516	39.652081	39.8802212	-88.473701	-87.935905
Eagle, CO	39.6161124	-106.7172844	39.349491	39.9252967	-107.113739	-106.175568
El Paso, CO	9.6988169	-73.7216489575926	9.5246278	9.8728769	-73.8369886	-73.4412867
Elbert, CO	39.3138822	-104.0868973	38.8648799	39.5666607	-104.6632378	-103.7103516
Fremont, CO	37.5482697	-121.9885719	37.4539501	37.6066739	-122.1489115	-121.8701128
Garfield, CO	39.5462048	-107.8776144	39.365982	40.091473	-109.0514442	-107.031273
Gilpin, CO	39.8586654	-105.5025219	39.7458134	39.936401	-105.700853	-105.393921
Grand, CO	38.7251776	-105.607716	36.992426	41.0034002	-109.0601879	-102.041585
Gunnison, CO	38.6476702	-107.0603126	38.147072	39.257691	-107.633263	-106.24563
Hinsdale, CO	37.813681	-107.3304179	37.420906	38.147267	-107.5914224	-107.000602
Huerfano, CO	37.7013983	-105.0218531	37.2858517	38.020191	-105.5012003	-104.351807
Jackson, CO	32.2990384	-90.1847691	32.209657	32.410998	-90.321871	-90.0645609
Jefferson, CO	4.6745909	-74.073871	4.6745409	4.6746409	-74.073921	-74.073821
Kiowa, CO	37.5529578	-99.296556	37.38237	37.73539	-99.558372	-99.013542
Kit Carson, CO	39.3080613	-102.62075	39.037579	39.5739578	-103.161514	-102.0467277
La Plata, CO	2.3277626	-75.9946636063501	2.1519659	2.5031239	-76.2090912	-75.8168126
Lake, CO	38.7251776	-105.607716	36.992426	41.0034002	-109.0601879	-102.041585
Larimer, CO	40.6810174	-105.4726907	40.258167	40.9982398	-106.195438	-104.941895
Las Animas, CO	0.7943278	-74.5820382	0.7743278	0.8143278	-74.6020382	-74.5620382
Lincoln, CO	4.5074358	-75.650635	4.4974358	4.5174358	-75.660635	-75.640635
Logan, CO	40.1075089	-89.3768539	39.915829	40.3252879	-89.603676	-89.1434636
Mesa, CO	4.6321316	-74.4629388	4.5921316	4.6721316	-74.5029388	-74.4229388
Mineral, CO	9.2125187	-74.1868754	9.2025187	9.2225187	-74.1968754	-74.1768754
Moffat, CO	40.6083135	-108.252345	40.2201332	41.0030566	-109.0512228	-107.3133794
Montezuma, CO	8.6214646	-75.9167084	8.6114646	8.6314646	-75.9267084	-75.9067084
Montrose, CO	38.4375391	-108.2403855	38.151752	38.668553	-109.0601879	-107.498924
Morgan, CO	5.3453748	-72.40013	5.3453248	5.3454248	-72.40018	-72.40008
Otero, CO	4.61490225	-74.1591556759708	4.6148407	4.6149648	-74.1592204	-74.1590913
Ouray, CO	38.146044	-107.7414887	37.891163	38.331242	-108.12764	-107.506897
Park, CO	4.6542187	-74.1090581121021	4.6539963	4.654441	-74.1092217	-74.1088945
Phillips, CO	48.76918335	-107.619203155526	48.7673582	48.7710131	-107.6219336	-107.6164711
Pitkin, CO	39.2037774	-106.8695332	38.977691	39.366177	-107.466095	-106.426983
Prowers, CO	37.9455797	-102.4130793	37.642796	38.268819	-102.747108	-102.041585
Pueblo, CO	10.961033	-74.8405355473925	10.9581152	10.9647906	-74.8438411	-74.8367803
Rio Blanco, CO	4.397321	-76.4812654	4.3781512	4.413042	-76.4907328	-76.470279
Rio Grande, CO	7.9443421	-76.5830608	7.9364853	7.9545003	-76.6117894	-76.5529323
Routt, CO	40.4514373	-106.9724072	39.9186814	41.0034002	-107.4426079	-106.6261239
Saguache, CO	38.0945348	-106.3563372	37.7478095	38.458171	-107.0018958	-105.428499
San Juan, CO	4.9235051	-76.5304612349971	4.3332525	5.514172	-77.1610903	-76.0610169
San Miguel, CO	6.56224795	-72.6348963317358	6.5065983	6.6176727	-72.7042947	-72.5991238
Sedgwick, CO	37.6448148	-97.4641388	37.47464	37.9128216	-97.807472	-97.151421
Summit, CO	39.6070951	-106.0636654	39.357355	39.924889	-106.435921	-105.775822
Teller, CO	38.889575	-105.1797307	38.6472187	39.1297471	-105.3319274	-104.9389756
Washington, CO	9.9621155	-74.1870612	9.9521155	9.9721155	-74.1970612	-74.1770612
Weld, CO	40.5632344	-104.4835287	40.0001387	41.0017852	-105.056473	-103.5729967
Yuma, CO	-2.7637219	-69.844347443481	-2.7753544	-2.7517999	-69.858917	-69.8310489
Fairfield, CT	52.2339469	-7.1116219	52.2339469	52.2345043	-7.1124712	-7.1110203
Hartford, CT	41.7655582	-72.6906127614661	41.7236703	41.8074191	-72.7180372	-72.6422873
Litchfield, CT	41.747319	-73.1887243	41.6727577	41.793993	-73.2985651	-73.0684023
Middlesex, CT	51.5460558	-0.253779138934072	51.3784098	51.7137193	-0.5355259	0.0098639
New Haven, CT	41.29843435	-72.9310234270791	41.2464253	41.35039	-72.998048	-72.8604243
New London, CT	41.331256	-72.0964371579169	41.2765064	41.3870064	-72.1285182	-72.055119
Tolland, CT	41.8700166	-72.3677153	41.8255065	41.9296355	-72.4313119	-72.2908318
Windham, CT	41.6993535	-72.1578243	41.6576363	41.7562195	-72.2532018	-72.1120457
Kent, DE	53.0688084	8.7854282	53.0687584	53.0688584	8.7853782	8.7854782
New Castle, DE	39.6620572	-75.5663132	39.652476	39.69097	-75.606354	-75.533281
Sussex, DE	50.94451385	-0.0622673284178475	50.7217802	51.167301	-0.9575973	0.8678559
District of Columbia, DC	38.88905915	-77.0401699800873	38.8890523	38.8890661	-77.0401774	-77.0401625
Alachua, FL	29.675568	-82.3640109	29.417057	29.945254	-82.658554	-82.049052
Baker, FL	30.3143459	-82.2847163	30.136449	30.584267	-82.459793	-82.048816
Bay, FL	30.2481693	-85.6593633	29.901033	30.5674239	-85.999893	-85.38415
Bradford, FL	29.9715087	-82.1608653	29.718232	30.14324	-82.418728	-82.046112
Brevard, FL	28.2100203	-80.7997185	27.822058	28.791396	-80.988014	-80.385069
Broward, FL	26.1598074	-80.4623642	25.95675	26.3554984	-80.8813893	-80.015276
Calhoun, FL	30.3853734	-85.2223516	30.199889	30.608128	-85.3898978	-84.933018
Charlotte, FL	26.9013269	-81.9156799	26.769552	27.035287	-82.437327	-81.562202
Citrus, FL	28.8512851	-82.5141209	28.665671	29.0526	-82.848248	-82.169188
Clay, FL	29.9766524	-81.8470596	29.71867	30.193466	-82.049442	-81.581207
Collier, FL	26.087964	-81.3794941	25.769452	26.517069	-81.905501	-80.872992
Columbia, FL	30.1935988	-82.6327488	29.825587	30.597734	-82.800477	-82.452518
DeSoto, FL	27.190253	-81.8244232	27.031701	27.340702	-82.0575825	-81.562196
Dixie, FL	29.6214008	-83.17351	29.25099	29.825449	-83.481264	-82.919826
Duval, FL	30.3540073	-81.6632109	30.103748	30.586197	-82.049502	-81.316712
Escambia, FL	30.6625885	-87.3451089	30.2266128	30.9989584	-87.634896	-86.916607
